SEMEL_YISH,STAT11,Poverty_De
31,1,8
31,2,8
31,3,8
31,4,8
31,6,10
31,7,5
70,122,8
70,123,7
70,125,8
70,126,8
70,131,8
70,132,9
70,133,8
70,141,10
70,142,10
70,143,9
70,144,10
70,211,10
70,212,10
70,213,10
70,221,9
70,222,8
70,223,9
70,231,6
70,232,4
70,233,3
70,234,7
70,241,6
70,242,8
70,243,5
70,244,5
70,311,5
70,312,5
70,314,5
70,315,3
70,316,3
70,317,3
70,321,5
70,322,10
70,323,8
70,331,4
70,332,2
70,333,6
70,342,3
70,343,3
70,411,3
70,412,2
70,413,3
70,415,2
70,421,3
70,422,4
70,423,5
70,424,4
70,425,5
70,426,6
70,432,2
70,433,3
70,434,2
166,1,2
166,2,1
166,3,2
166,4,2
195,1,1
195,2,1
195,3,1
195,4,3
195,5,5
240,1,6
240,3,7
240,4,4
240,5,1
240,6,1
240,7,1
246,1,10
246,2,9
246,4,8
246,5,10
246,6,8
246,7,9
246,8,7
481,1,9
481,2,9
481,3,9
481,4,9
481,5,9
499,1,9
499,2,8
499,3,9
499,4,8
499,5,9
509,1,10
509,2,10
509,3,10
509,4,9
509,5,10
510,1,10
510,2,10
510,3,10
510,4,9
522,1,9
522,2,9
522,3,9
522,4,10
531,1,9
531,2,9
531,3,10
531,4,10
531,5,9
542,1,9
542,2,7
542,3,8
542,4,9
637,1,8
637,2,7
637,3,9
637,4,9
638,1,8
638,2,9
638,3,9
638,4,8
654,1,7
654,2,7
654,3,7
654,4,6
681,1,1
681,2,6
681,3,5
681,4,1
681,5,3
681,6,2
874,1,8
874,2,8
874,3,9
874,5,7
874,6,4
874,7,2
874,9,2
1015,1,1
1015,2,3
1015,3,1
1015,4,6
1015,5,1
1015,6,2
1020,1,3
1020,2,8
1020,3,7
1020,4,3
1020,5,4
1031,2,8
1031,3,7
1031,4,6
1031,5,7
1031,6,5
1031,7,4
1034,2,5
1034,3,9
1034,4,6
1034,5,6
1034,6,9
1034,7,9
1034,8,9
1061,11,2
1061,12,6
1061,21,7
1061,22,9
1061,23,8
1061,24,6
1061,31,4
1061,32,3
1061,33,8
1061,34,8
1061,41,8
1061,42,7
1061,43,5
1063,1,3
1063,3,5
1063,4,4
1063,5,8
1063,6,2
1139,12,9
1139,13,7
1139,14,7
1139,21,6
1139,22,5
1139,23,6
1139,24,4
1139,31,5
1139,32,1
1139,33,3
1139,34,2
1139,35,4
1161,1,9
1161,2,10
1161,3,10
1161,4,9
1161,5,9
1161,6,10
1161,7,10
1161,8,9
1161,9,10
1161,10,10
1161,11,9
1200,11,1
1200,12,1
1200,13,1
1200,15,1
1200,16,1
1200,17,1
1200,21,1
1200,22,1
1200,23,1
1200,24,1
1200,25,1
1200,26,2
1200,33,1
1200,34,1
1200,41,1
1200,42,1
1200,43,1
1224,1,1
1224,2,1
1224,3,1
1224,4,1
1292,1,8
1292,2,6
1292,3,8
1292,4,9
1304,1,1
1304,2,1
1304,3,1
1304,4,1
1309,1,10
1309,2,9
1309,3,9
1309,4,10
1309,5,10
1309,6,10
1309,7,10
2100,1,3
2100,3,8
2100,4,7
2100,5,6
2100,6,6
2100,7,8
2200,2,8
2200,3,8
2200,4,9
2200,5,5
2200,6,4
2200,7,7
2200,8,7
2200,9,3
2200,10,9
2200,11,8
2200,12,7
2300,1,3
2300,2,2
2300,3,4
2300,4,3
2400,1,4
2400,2,5
2400,3,5
2400,4,5
2400,5,8
2400,7,7
2400,8,8
2400,9,1
2400,10,2
2400,11,5
2400,12,5
2400,13,4
2500,2,8
2500,3,8
